# Time	forces(pressure, viscous) moment(pressure, viscous)
60	(((2.28858e-07 3.23675e-09 4.033e-16) (2.52888e-07 -5.9127e-10 5.399e-12)) ((-1.30296e-12 -3.6663e-12 2.27036e-16) (-1.00723e-12 2.91288e-12 -2.26422e-10)))
61	(((2.28149e-07 3.16781e-09 3.99318e-16) (2.47559e-07 -5.99457e-10 4.87679e-12)) ((-1.22618e-12 -3.68624e-12 2.22364e-16) (-9.88221e-13 2.85282e-12 -2.20277e-10)))
62	(((2.27495e-07 3.12818e-09 3.96885e-16) (2.42452e-07 -6.06827e-10 5.51377e-12)) ((-1.06788e-12 -3.56838e-12 2.16429e-16) (-9.40408e-13 2.77632e-12 -2.14393e-10)))
63	(((2.26811e-07 3.07259e-09 3.92849e-16) (2.37556e-07 -6.13574e-10 4.74841e-12)) ((-1.02269e-12 -3.56572e-12 2.13008e-16) (-8.74404e-13 2.7132e-12 -2.0874e-10)))
64	(((2.26222e-07 3.02414e-09 4.00029e-16) (2.32861e-07 -6.1917e-10 4.07357e-12)) ((-9.80578e-13 -3.47044e-12 2.08937e-16) (-8.22588e-13 2.64434e-12 -2.0332e-10)))
65	(((2.25589e-07 3.01586e-09 4.11351e-16) (2.28357e-07 -6.24898e-10 4.55691e-12)) ((-7.87532e-13 -3.45688e-12 2.04462e-16) (-8.08334e-13 2.56065e-12 -1.98063e-10)))
66	(((2.25011e-07 2.96972e-09 4.33677e-16) (2.24036e-07 -6.29555e-10 4.97256e-12)) ((-7.42712e-13 -3.34765e-12 2.00473e-16) (-7.92048e-13 2.48218e-12 -1.9297e-10)))
67	(((2.24369e-07 2.92985e-09 4.37018e-16) (2.19891e-07 -6.33652e-10 4.7936e-12)) ((-8.26748e-13 -3.32125e-12 1.96795e-16) (-7.46847e-13 2.41467e-12 -1.88018e-10)))
68	(((2.2387e-07 2.84065e-09 4.3105e-16) (2.15913e-07 -6.37219e-10 4.4867e-12)) ((-7.57089e-13 -3.29192e-12 1.92874e-16) (-7.22677e-13 2.34878e-12 -1.83226e-10)))
69	(((2.23361e-07 2.86227e-09 4.38153e-16) (2.12097e-07 -6.39784e-10 4.52897e-12)) ((-7.08056e-13 -3.24613e-12 1.88241e-16) (-6.91083e-13 2.27969e-12 -1.78606e-10)))
70	(((2.22906e-07 2.77692e-09 4.44434e-16) (2.08434e-07 -6.42609e-10 4.51802e-12)) ((-6.37608e-13 -3.18787e-12 1.81105e-16) (-6.64392e-13 2.21368e-12 -1.74115e-10)))
71	(((2.22347e-07 2.75169e-09 4.3954e-16) (2.04917e-07 -6.44572e-10 4.62601e-12)) ((-6.2715e-13 -3.1454e-12 1.78867e-16) (-6.20333e-13 2.15381e-12 -1.69837e-10)))
72	(((2.21836e-07 2.67824e-09 4.4644e-16) (2.0154e-07 -6.46925e-10 5.12674e-12)) ((-5.34192e-13 -3.05546e-12 1.77297e-16) (-5.82896e-13 2.09729e-12 -1.65755e-10)))
73	(((2.21304e-07 2.68407e-09 4.35117e-16) (1.98298e-07 -6.49217e-10 5.33589e-12)) ((-5.80798e-13 -3.02219e-12 1.73518e-16) (-5.36163e-13 2.04102e-12 -1.61808e-10)))
74	(((2.20892e-07 2.67086e-09 4.4021e-16) (1.95184e-07 -6.49827e-10 5.51322e-12)) ((-4.6298e-13 -2.94014e-12 1.70543e-16) (-5.34514e-13 1.98769e-12 -1.58002e-10)))
75	(((2.2044e-07 2.68045e-09 4.44026e-16) (1.92194e-07 -6.49497e-10 5.1208e-12)) ((-4.32022e-13 -2.93732e-12 1.67084e-16) (-4.86953e-13 1.92843e-12 -1.54297e-10)))
76	(((2.20032e-07 2.62071e-09 4.47998e-16) (1.89319e-07 -6.4829e-10 4.94767e-12)) ((-2.57269e-13 -2.90609e-12 1.65181e-16) (-4.79024e-13 1.8622e-12 -1.50705e-10)))
77	(((2.19544e-07 2.63762e-09 4.62539e-16) (1.86556e-07 -6.46368e-10 4.95971e-12)) ((-3.2802e-13 -2.82093e-12 1.62484e-16) (-4.29092e-13 1.80051e-12 -1.47246e-10)))
78	(((2.19092e-07 2.60821e-09 4.68964e-16) (1.83901e-07 -6.4339e-10 5.05527e-12)) ((-1.96153e-13 -2.7602e-12 1.59466e-16) (-4.33001e-13 1.7515e-12 -1.43924e-10)))
79	(((2.18605e-07 2.60492e-09 4.70774e-16) (1.81349e-07 -6.39226e-10 4.42068e-12)) ((-1.67842e-13 -2.8109e-12 1.5672e-16) (-3.90415e-13 1.71159e-12 -1.40728e-10)))
