# Time	forces(pressure, viscous) moment(pressure, viscous)
0.638088	(((-8.57889e-06 3.16069e-08 0) (-2.54026e-06 -8.80295e-08 5.4402e-10)) ((8.2518e-11 -6.79818e-11 2.64167e-10) (3.25528e-10 2.31779e-11 -3.23773e-10)))
0.658088	(((-8.49379e-06 9.27133e-09 -1.63434e-09) (-2.402e-06 -4.77489e-08 -1.0173e-09)) ((-9.72955e-11 -1.08485e-10 -1.12781e-10) (3.31927e-10 -8.82695e-11 -2.7816e-09)))
0.678088	(((-8.3787e-06 1.13261e-08 -5.29726e-10) (-2.49163e-06 -2.59925e-08 3.60602e-09)) ((4.08345e-11 -4.28726e-11 2.71002e-10) (2.54473e-10 -1.15262e-10 6.83165e-10)))
0.698088	(((-8.30658e-06 1.01441e-08 0) (-2.49833e-06 -4.22232e-08 5.88778e-10)) ((1.11099e-11 -8.25063e-11 1.30378e-12) (3.42102e-10 -1.26958e-10 -1.06171e-09)))
0.718088	(((-8.14097e-06 -1.34998e-08 -1.67495e-09) (-2.40766e-06 4.49085e-08 -4.72613e-10)) ((1.57945e-10 -6.74781e-11 -8.35246e-10) (2.13124e-11 -4.05041e-12 3.78865e-09)))
0.738088	(((-7.81951e-06 2.9178e-08 3.18197e-10) (-2.1895e-06 -7.73434e-09 -1.12389e-09)) ((2.87579e-10 1.41623e-11 3.48844e-10) (2.47761e-10 -1.23187e-10 1.66155e-09)))
0.758088	(((-7.80472e-06 4.54235e-08 1.92211e-09) (-2.24781e-06 2.99113e-08 3.56806e-09)) ((2.29765e-10 8.27348e-11 9.61654e-10) (1.94562e-10 -1.12e-10 -3.9593e-09)))
0.778088	(((-7.8469e-06 2.54827e-08 -1.22533e-10) (-2.22728e-06 1.91851e-08 4.30485e-10)) ((2.2298e-10 3.19422e-11 3.47166e-10) (-6.93507e-11 -8.71105e-11 6.93079e-10)))
0.798088	(((-7.85075e-06 -6.76592e-10 -4.06867e-10) (-2.32094e-06 3.15056e-08 -1.3804e-09)) ((1.08456e-10 -8.03705e-11 -4.18749e-10) (-4.73662e-11 1.17615e-11 3.60255e-09)))
0.818088	(((-7.86656e-06 -1.06506e-08 -9.31231e-10) (-2.23824e-06 3.70508e-09 -1.28548e-09)) ((1.5553e-11 -1.0744e-10 -3.50047e-10) (2.39668e-11 -1.85539e-10 2.96242e-09)))
0.838088	(((-7.87224e-06 -1.29762e-08 -2.52525e-10) (-2.30502e-06 3.42318e-09 1.0109e-09)) ((2.48773e-10 -3.19188e-11 -9.06412e-10) (-1.26348e-10 9.06302e-11 1.68918e-09)))
0.858088	(((-8.27381e-06 3.05611e-09 -3.3316e-10) (-2.47584e-06 2.3068e-08 -1.45043e-09)) ((-1.30523e-10 -4.0696e-11 -1.209e-10) (2.88862e-11 -2.86341e-11 2.00741e-09)))
0.878088	(((-8.22416e-06 9.16041e-09 -1.5002e-09) (-2.61686e-06 -7.3534e-08 -1.12432e-09)) ((9.24589e-11 -7.95311e-11 3.14458e-11) (3.28606e-10 -1.67773e-10 -1.33241e-09)))
0.898088	(((-8.13658e-06 2.5756e-09 0) (-2.43591e-06 -1.3316e-08 -9.0898e-10)) ((3.62103e-11 -6.90868e-11 -5.24401e-10) (4.36724e-11 -5.18607e-11 -1.42543e-09)))
0.918088	(((-8.12181e-06 -1.13039e-08 0) (-2.38825e-06 1.78589e-07 5.49658e-09)) ((2.78451e-11 -2.6454e-11 3.32906e-10) (3.79862e-10 -7.03093e-11 8.20842e-09)))
0.938088	(((-8.11438e-06 2.54287e-08 8.33617e-10) (-2.48617e-06 -3.32537e-07 -3.26998e-10)) ((3.04745e-10 -2.26053e-12 6.96359e-10) (3.00669e-10 -5.27893e-11 -4.2787e-09)))
0.958088	(((-8.02055e-06 7.71502e-09 -9.83181e-10) (-2.27022e-06 1.07759e-08 5.29112e-09)) ((-1.20408e-10 -2.48749e-11 -1.53001e-10) (2.14465e-12 -6.64043e-11 4.444e-09)))
0.978088	(((-7.60713e-06 2.0993e-08 9.11105e-10) (-2.29095e-06 -1.52777e-07 1.43789e-09)) ((3.55346e-10 2.19384e-11 6.92067e-10) (3.14711e-11 -8.50606e-11 -3.60791e-09)))
0.998088	(((-7.61753e-06 3.63265e-08 1.29919e-09) (-2.18044e-06 7.21497e-09 2.84923e-09)) ((1.45722e-10 8.56705e-11 4.86446e-10) (9.61576e-11 -3.42897e-11 -5.36863e-09)))
1.01809	(((-7.66218e-06 4.43338e-08 8.07453e-11) (-2.31143e-06 1.76783e-08 1.71901e-09)) ((2.50395e-10 2.12895e-11 5.92659e-10) (2.3386e-10 -1.64888e-10 -5.10779e-09)))
1.03809	(((-7.04926e-06 -8.16915e-10 1.53715e-09) (-2.56469e-06 -9.06591e-08 8.58213e-11)) ((1.26462e-10 -3.23751e-11 -5.6831e-10) (-9.67593e-11 3.7975e-11 -4.90675e-09)))
1.05809	(((-7.74979e-06 -1.73616e-08 1.80353e-10) (-2.23309e-06 -5.67354e-08 -3.09202e-10)) ((1.2513e-10 -2.68266e-11 -5.35028e-10) (8.3066e-11 6.79969e-11 1.41058e-10)))
1.07809	(((-7.81901e-06 9.56785e-09 -8.82243e-10) (-2.17074e-06 -3.0758e-08 2.60844e-09)) ((2.73237e-10 2.05675e-11 3.65384e-11) (2.24964e-11 -1.28041e-10 3.45958e-09)))
1.09809	(((-7.7649e-06 6.82524e-09 1.71572e-09) (-2.32025e-06 -3.09263e-10 7.71688e-10)) ((2.38759e-10 3.55753e-12 3.41665e-10) (5.12352e-11 -3.68056e-11 2.25819e-09)))
1.11809	(((-8.17496e-06 7.40761e-09 -1.55954e-09) (-2.49199e-06 1.65166e-09 1.1723e-10)) ((2.53624e-11 -5.92745e-11 8.19555e-11) (-1.40213e-11 -1.67452e-10 2.96966e-10)))
1.13809	(((-8.13868e-06 -1.13896e-08 0) (-2.41476e-06 1.24653e-07 3.34976e-09)) ((4.17143e-11 -8.08449e-11 6.41964e-12) (2.84177e-10 -6.44395e-11 5.65905e-09)))
1.15809	(((-8.06563e-06 6.52288e-09 -1.88283e-09) (-2.35001e-06 -1.125e-08 1.45016e-09)) ((-7.07135e-11 -5.75344e-11 9.03459e-11) (1.35663e-10 -1.23112e-10 -2.94809e-10)))
1.17809	(((-7.99183e-06 3.8086e-09 0) (-2.44795e-06 -1.55981e-08 2.78467e-09)) ((-5.36002e-11 1.92084e-13 4.43623e-10) (1.76802e-10 4.01508e-11 1.18619e-09)))
1.19809	(((-7.97007e-06 1.84406e-08 1.56246e-09) (-2.4438e-06 -1.92687e-07 1.7223e-09)) ((2.50469e-10 1.49941e-11 8.32907e-10) (1.76116e-10 -5.80034e-11 -3.51943e-09)))
