# Time	forces(pressure, viscous) moment(pressure, viscous)
62	(((2.60895e-07 2.17784e-09 1.63874e-16) (5.24453e-07 -1.75179e-09 1.80301e-11)) ((-5.61454e-12 -9.86252e-14 -8.7331e-16) (-8.22331e-12 3.25235e-12 -6.41133e-10)))
63	(((2.60023e-07 2.09468e-09 1.23562e-16) (5.13536e-07 -1.7081e-09 1.68982e-11)) ((-5.43806e-12 -1.41025e-14 -8.52622e-16) (-7.96264e-12 3.17277e-12 -6.26722e-10)))
64	(((2.59082e-07 2.08989e-09 1.16861e-16) (5.02968e-07 -1.66726e-09 1.72831e-11)) ((-5.30471e-12 -1.44108e-14 -8.30529e-16) (-7.68709e-12 3.08726e-12 -6.12681e-10)))
65	(((2.58129e-07 2.04783e-09 1.10995e-16) (4.92735e-07 -1.62745e-09 1.7684e-11)) ((-5.09365e-12 7.88045e-15 -8.11219e-16) (-7.4439e-12 3.00732e-12 -5.98995e-10)))
66	(((2.57243e-07 2.02176e-09 1.38074e-16) (4.82821e-07 -1.58992e-09 1.73774e-11)) ((-4.78511e-12 2.38028e-15 -7.91009e-16) (-7.2373e-12 2.93204e-12 -5.85583e-10)))
67	(((2.56311e-07 1.94534e-09 1.76055e-16) (4.73216e-07 -1.55422e-09 1.63063e-11)) ((-4.66733e-12 -5.73013e-14 -7.71099e-16) (-6.99162e-12 2.88886e-12 -5.72554e-10)))
68	(((2.55428e-07 1.88915e-09 1.46516e-16) (4.63905e-07 -1.51905e-09 1.52844e-11)) ((-4.68069e-12 -6.60952e-14 -7.4613e-16) (-6.72246e-12 2.84044e-12 -5.598e-10)))
69	(((2.5456e-07 1.85188e-09 1.64594e-16) (4.54879e-07 -1.48561e-09 1.41249e-11)) ((-4.11341e-12 -9.79977e-14 -7.25896e-16) (-6.59098e-12 2.79717e-12 -5.4741e-10)))
70	(((2.53715e-07 1.81174e-09 1.31838e-16) (4.46127e-07 -1.45409e-09 1.41894e-11)) ((-4.08004e-12 4.53278e-16 -7.05282e-16) (-6.37103e-12 2.72281e-12 -5.35298e-10)))
71	(((2.52888e-07 1.81994e-09 1.86515e-16) (4.3764e-07 -1.42343e-09 1.34403e-11)) ((-3.71445e-12 -7.74777e-14 -6.8208e-16) (-6.20888e-12 2.66848e-12 -5.23458e-10)))
72	(((2.52068e-07 1.80671e-09 1.77394e-16) (4.29406e-07 -1.39385e-09 1.27634e-11)) ((-3.52351e-12 -6.09728e-14 -6.60786e-16) (-6.01211e-12 2.60446e-12 -5.11877e-10)))
73	(((2.51277e-07 1.69771e-09 1.82667e-16) (4.21418e-07 -1.36526e-09 1.3204e-11)) ((-3.31179e-12 8.97005e-15 -6.39516e-16) (-5.85637e-12 2.53229e-12 -5.00605e-10)))
74	(((2.5048e-07 1.71055e-09 1.81702e-16) (4.13665e-07 -1.33814e-09 1.37505e-11)) ((-2.89681e-12 2.37415e-14 -6.18687e-16) (-5.74128e-12 2.46224e-12 -4.89549e-10)))
75	(((2.49646e-07 1.66053e-09 1.91067e-16) (4.06141e-07 -1.311e-09 1.26512e-11)) ((-3.00067e-12 -6.99485e-15 -5.97026e-16) (-5.54633e-12 2.41873e-12 -4.78806e-10)))
76	(((2.48883e-07 1.63581e-09 1.57653e-16) (3.98834e-07 -1.28427e-09 1.24439e-11)) ((-3.05196e-12 4.21836e-14 -5.78643e-16) (-5.34116e-12 2.35262e-12 -4.68346e-10)))
77	(((2.48065e-07 1.59682e-09 1.89244e-16) (3.9174e-07 -1.25815e-09 1.16156e-11)) ((-2.85233e-12 -1.85027e-15 -5.58295e-16) (-5.13822e-12 2.32076e-12 -4.58158e-10)))
78	(((2.47275e-07 1.56616e-09 1.43114e-16) (3.8485e-07 -1.23264e-09 1.14254e-11)) ((-2.91332e-12 4.01659e-14 -5.43842e-16) (-4.95075e-12 2.26964e-12 -4.48219e-10)))
79	(((2.4658e-07 1.52128e-09 1.52543e-16) (3.78154e-07 -1.20705e-09 1.15683e-11)) ((-2.80035e-12 6.41477e-14 -5.24957e-16) (-4.72119e-12 2.18864e-12 -4.38567e-10)))
80	(((2.45819e-07 1.47456e-09 1.56372e-16) (3.71649e-07 -1.18291e-09 1.17701e-11)) ((-2.63022e-12 9.41521e-14 -5.08099e-16) (-4.55032e-12 2.10135e-12 -4.29152e-10)))
81	(((2.45155e-07 1.38819e-09 2.06839e-16) (3.65325e-07 -1.1584e-09 1.09935e-11)) ((-2.20008e-12 -1.94544e-15 -4.91736e-16) (-4.46884e-12 2.06112e-12 -4.20014e-10)))
82	(((2.44419e-07 1.37737e-09 2.19471e-16) (3.59179e-07 -1.13543e-09 1.11859e-11)) ((-2.36526e-12 1.08465e-13 -4.78974e-16) (-4.32176e-12 1.98512e-12 -4.11095e-10)))
83	(((2.43762e-07 1.29209e-09 3.25463e-16) (3.53204e-07 -1.11157e-09 9.50608e-12)) ((-2.30711e-12 3.0268e-15 -4.66835e-16) (-4.18316e-12 1.95398e-12 -4.02462e-10)))
84	(((2.43065e-07 1.26784e-09 3.40259e-16) (3.47393e-07 -1.08914e-09 9.14701e-12)) ((-2.19381e-12 4.29847e-14 -4.48945e-16) (-4.08003e-12 1.90624e-12 -3.9403e-10)))
85	(((2.42449e-07 1.18917e-09 4.33992e-16) (3.41741e-07 -1.06649e-09 7.36219e-12)) ((-2.05369e-12 -1.23127e-13 -4.32669e-16) (-3.96667e-12 1.8974e-12 -3.85829e-10)))
86	(((2.4175e-07 1.18696e-09 3.77515e-16) (3.36244e-07 -1.04532e-09 8.32145e-12)) ((-2.04971e-12 2.55536e-14 -4.21407e-16) (-3.87454e-12 1.82605e-12 -3.77807e-10)))
87	(((2.41128e-07 1.14977e-09 4.24544e-16) (3.30897e-07 -1.0241e-09 6.68809e-12)) ((-1.59413e-12 -1.57145e-13 -4.09317e-16) (-3.83693e-12 1.83117e-12 -3.70022e-10)))
88	(((2.40448e-07 1.11754e-09 3.79553e-16) (3.25694e-07 -1.00452e-09 7.15286e-12)) ((-2.0675e-12 -1.11669e-14 -3.99807e-16) (-3.65605e-12 1.75203e-12 -3.62414e-10)))
89	(((2.39871e-07 9.80418e-10 4.15622e-16) (3.20632e-07 -9.85589e-10 5.33018e-12)) ((-1.89242e-12 -1.65858e-13 -3.87729e-16) (-3.5771e-12 1.74425e-12 -3.5499e-10)))
90	(((2.39221e-07 9.72411e-10 3.44284e-16) (3.15703e-07 -9.68704e-10 6.71741e-12)) ((-2.10376e-12 -4.69687e-14 -3.77043e-16) (-3.43615e-12 1.6551e-12 -3.47706e-10)))
91	(((2.38705e-07 8.77237e-10 3.11436e-16) (3.10905e-07 -9.51623e-10 6.94988e-12)) ((-1.87717e-12 -2.23196e-15 -3.6468e-16) (-3.36917e-12 1.58346e-12 -3.40671e-10)))
92	(((2.38085e-07 8.61234e-10 3.45771e-16) (3.06234e-07 -9.3541e-10 7.18025e-12)) ((-2.11392e-12 -1.43126e-14 -3.50059e-16) (-3.22897e-12 1.51548e-12 -3.33825e-10)))
93	(((2.37516e-07 7.65765e-10 3.94968e-16) (3.01685e-07 -9.19418e-10 5.92183e-12)) ((-1.55511e-12 -1.42017e-13 -3.41946e-16) (-3.22257e-12 1.48779e-12 -3.27181e-10)))
94	(((2.36875e-07 7.31498e-10 3.43278e-16) (2.97257e-07 -9.03712e-10 6.54809e-12)) ((-1.89852e-12 -1.2206e-14 -3.31162e-16) (-3.08472e-12 1.40509e-12 -3.2069e-10)))
95	(((2.36324e-07 6.2839e-10 4.31398e-16) (2.92944e-07 -8.88339e-10 5.10112e-12)) ((-1.49128e-12 -1.24442e-13 -3.20002e-16) (-3.04261e-12 1.37982e-12 -3.14363e-10)))
96	(((2.35741e-07 5.70872e-10 3.87671e-16) (2.88743e-07 -8.72614e-10 4.74496e-12)) ((-1.66543e-12 -7.9838e-14 -3.11512e-16) (-2.92524e-12 1.32996e-12 -3.08231e-10)))
97	(((2.35239e-07 4.85414e-10 3.81539e-16) (2.84649e-07 -8.56929e-10 4.36329e-12)) ((-1.29846e-12 9.11807e-15 -3.04463e-16) (-2.86756e-12 1.2707e-12 -3.02246e-10)))
98	(((2.34722e-07 4.40104e-10 3.66286e-16) (2.8066e-07 -8.40734e-10 3.54617e-12)) ((-1.24448e-12 -2.70457e-14 -2.94954e-16) (-2.82283e-12 1.23755e-12 -2.96413e-10)))
99	(((2.3424e-07 3.31326e-10 3.90272e-16) (2.76773e-07 -8.25713e-10 3.10148e-12)) ((-1.03421e-12 -2.77519e-14 -2.86325e-16) (-2.73286e-12 1.19182e-12 -2.90685e-10)))
100	(((2.33729e-07 3.54471e-10 3.31155e-16) (2.72985e-07 -8.1087e-10 3.80328e-12)) ((-1.2961e-12 7.78172e-14 -2.78455e-16) (-2.643e-12 1.11951e-12 -2.85093e-10)))
101	(((2.33241e-07 2.73978e-10 3.89848e-16) (2.69292e-07 -7.9694e-10 2.45318e-12)) ((-8.92419e-13 -1.76145e-14 -2.68776e-16) (-2.58978e-12 1.0942e-12 -2.79557e-10)))
